Día,Cajero,Monto,Hora de la transacción
1,Cajero 124,"5,53",1:37
1,Cajero 119,"2,86",1:38
1,Cajero 2,"3,36",1:39
1,Cajero 76,"5,07",1:39
1,Cajero 6,"2,58",1:40
1,Cajero 115,"4,61",1:40
1,Cajero 173,"6,6",1:42
1,Cajero 119,"7,82",1:45
1,Cajero 186,"5,76",1:47
1,Cajero 216,"5,92",1:49
1,Cajero 132,"3,11",1:51
1,Cajero 161,"5,64",1:52
1,Cajero 190,"3,71",1:52
1,Cajero 169,"2,69",1:53
1,Cajero 87,"5,89",1:54
1,Cajero 86,"6,64",1:56
1,Cajero 140,"4,42",1:57
1,Cajero 211,"6,27",1:59
1,Cajero 108,"3,54",2:2
1,Cajero 190,"6,45",2:3
1,Cajero 21,"6,78",2:5
1,Cajero 129,"6,28",2:5
1,Cajero 206,"7,03",2:7
1,Cajero 68,"2,46",2:8
1,Cajero 170,"4,93",2:11
1,Cajero 163,"7,16",2:13
1,Cajero 87,"4,69",2:14
1,Cajero 11,"6,36",2:15
1,Cajero 85,"5,41",2:17
1,Cajero 197,"4,71",2:17
1,Cajero 138,"7,87",2:19
1,Cajero 175,"2,83",2:20
1,Cajero 57,"3,99",2:22
1,Cajero 45,"2,77",2:24
1,Cajero 90,"2,72",2:26
1,Cajero 100,"3,48",2:29
1,Cajero 152,"7,17",2:30
1,Cajero 58,"7,39",2:32
1,Cajero 196,"2,33",2:34
1,Cajero 88,"3,87",2:35
1,Cajero 206,"5,14",2:36
1,Cajero 113,"3,81",2:38
1,Cajero 85,"6,49",2:39
1,Cajero 76,"6,75",2:41
1,Cajero 134,"2,69",2:42
1,Cajero 199,"2,91",2:43
1,Cajero 212,"4,95",2:45
1,Cajero 185,"7,44",2:46
1,Cajero 217,"3,32",2:46
1,Cajero 208,"2,72",2:47
1,Cajero 43,"4,01",2:49
1,Cajero 226,"6,03",2:49
1,Cajero 203,"6,7",2:49
1,Cajero 204,"4,29",2:51
1,Cajero 135,"5,96",2:52
1,Cajero 221,"4,48",2:53
1,Cajero 105,"6,69",2:56
1,Cajero 134,"4,93",2:56
1,Cajero 221,"7,55",2:57
1,Cajero 200,"5,64",2:58
1,Cajero 41,"5,93",3:0
1,Cajero 63,"2,31",3:0
1,Cajero 129,"7,71",3:3
1,Cajero 126,"7,73",3:5
1,Cajero 7,"4,74",3:6
1,Cajero 115,4,3:8
1,Cajero 40,"3,47",3:9
1,Cajero 53,"4,05",3:10
1,Cajero 73,"4,38",3:11
1,Cajero 55,"2,99",3:12
1,Cajero 122,"2,46",3:15
1,Cajero 150,"5,31",3:18
1,Cajero 117,"4,83",3:19
1,Cajero 12,"4,22",3:21
1,Cajero 220,"2,57",3:22
1,Cajero 215,"6,88",3:24
1,Cajero 219,"5,01",3:25
1,Cajero 133,"7,61",3:26
1,Cajero 166,3,3:26
1,Cajero 210,"2,79",3:27
1,Cajero 101,"4,65",3:30
1,Cajero 61,"6,36",3:32
1,Cajero 142,"7,12",3:32
1,Cajero 91,5,3:34
1,Cajero 77,"6,91",3:36
1,Cajero 176,"3,69",3:37
1,Cajero 125,"6,86",3:38
1,Cajero 107,"4,71",3:40
1,Cajero 168,"5,32",3:40
1,Cajero 127,"4,23",3:43
1,Cajero 196,"3,13",3:45
1,Cajero 197,"5,78",3:46
1,Cajero 6,"7,21",3:49
1,Cajero 33,"3,54",3:50
1,Cajero 143,"3,3",3:52
1,Cajero 147,"5,44",3:53
1,Cajero 143,"4,38",3:54
1,Cajero 184,"5,56",3:55
1,Cajero 180,"5,13",3:56
1,Cajero 15,"2,32",3:58
1,Cajero 225,"2,63",4:1
1,Cajero 56,"6,05",4:1
1,Cajero 216,"3,53",4:4
1,Cajero 228,"3,3",4:6
1,Cajero 210,"7,79",4:9
1,Cajero 160,"4,22",4:10
1,Cajero 78,4,4:10
1,Cajero 105,"4,79",4:13
1,Cajero 30,3,4:14
1,Cajero 8,"7,51",4:16
1,Cajero 25,"6,93",4:17
1,Cajero 46,"3,58",4:18
1,Cajero 173,"7,19",4:18
1,Cajero 96,"7,3",4:20
1,Cajero 201,"6,17",4:21
1,Cajero 118,"2,51",4:22
1,Cajero 42,"3,97",4:23
1,Cajero 180,"3,28",4:24
1,Cajero 184,"4,1",4:25
1,Cajero 10,"3,02",4:27
1,Cajero 150,"4,43",4:28
1,Cajero 196,"6,43",4:28
1,Cajero 94,"5,86",4:30
1,Cajero 200,"4,71",4:32
1,Cajero 182,"7,72",4:33
1,Cajero 23,"6,97",4:35
1,Cajero 121,"7,09",4:35
1,Cajero 136,"4,6",4:37
1,Cajero 212,"2,59",4:39
1,Cajero 140,"5,91",4:41
1,Cajero 47,"5,72",4:42
1,Cajero 43,"7,58",4:45
1,Cajero 37,"5,88",4:46
1,Cajero 27,"6,84",4:48
1,Cajero 73,"6,12",4:50
1,Cajero 231,"4,4",4:53
1,Cajero 117,"7,77",4:54
1,Cajero 128,"7,64",4:56
1,Cajero 214,"6,32",4:57
1,Cajero 216,"7,27",4:57
1,Cajero 44,"6,07",4:59
1,Cajero 8,"3,53",5:1
1,Cajero 112,"7,5",5:2
1,Cajero 156,"4,05",5:2
1,Cajero 166,"4,76",5:3
1,Cajero 81,"4,46",5:3
1,Cajero 134,"7,41",5:6
1,Cajero 97,"5,15",5:7
1,Cajero 92,"6,22",5:8
1,Cajero 199,"3,23",5:8
1,Cajero 113,"4,87",5:9
1,Cajero 124,"7,06",5:11
1,Cajero 68,"5,36",5:12
1,Cajero 149,"7,09",5:12
1,Cajero 216,"5,44",5:14
1,Cajero 38,"6,4",5:14
1,Cajero 131,"3,67",5:15
1,Cajero 59,"4,24",5:16
1,Cajero 52,"5,72",5:19
1,Cajero 192,"7,54",5:22
1,Cajero 205,"7,77",5:23
1,Cajero 11,"5,84",5:24
1,Cajero 51,"3,25",5:26
1,Cajero 132,5,5:28
1,Cajero 65,"4,13",5:29
1,Cajero 39,"5,11",5:31
1,Cajero 111,"5,17",5:31
1,Cajero 185,"3,9",5:33
1,Cajero 149,"4,83",5:34
1,Cajero 145,"5,42",5:36
1,Cajero 95,"5,06",5:37
1,Cajero 223,"2,92",5:38
1,Cajero 154,"3,33",5:39
1,Cajero 66,"6,91",5:40
1,Cajero 61,"7,32",5:41
1,Cajero 195,"4,05",5:44
1,Cajero 36,"7,4",5:46
1,Cajero 216,"4,67",5:48
1,Cajero 158,"5,74",5:50
1,Cajero 230,"4,15",5:51
1,Cajero 54,"4,42",5:54
1,Cajero 144,"3,09",5:57
1,Cajero 216,"7,06",5:59
1,Cajero 50,"7,17",6:0
1,Cajero 81,"2,82",6:2
1,Cajero 221,"2,68",6:3
1,Cajero 80,"7,52",6:3
1,Cajero 97,"4,52",6:4
1,Cajero 227,"6,81",6:5
1,Cajero 222,"6,77",6:6
1,Cajero 64,"3,6",6:7
1,Cajero 41,"6,05",6:7
1,Cajero 121,"5,68",6:8
1,Cajero 70,"5,42",6:9
1,Cajero 101,"3,87",6:11
1,Cajero 139,"7,73",6:12
1,Cajero 209,"4,68",6:15
1,Cajero 17,"2,98",6:15
1,Cajero 152,"2,6",6:16
1,Cajero 36,"5,96",6:16
1,Cajero 224,"4,37",6:18
1,Cajero 120,"3,3",6:19
1,Cajero 19,"5,19",6:21
1,Cajero 20,"4,14",6:22
1,Cajero 122,"4,13",6:25
1,Cajero 69,"6,24",6:26
1,Cajero 63,"7,14",6:27
1,Cajero 229,"5,61",6:30
1,Cajero 109,"2,66",6:30
1,Cajero 62,"7,06",6:32
1,Cajero 201,"2,4",6:33
1,Cajero 126,"5,92",6:33
1,Cajero 168,"7,1",6:36
1,Cajero 191,"4,34",6:38
1,Cajero 122,"4,32",6:40
1,Cajero 179,"5,81",6:41
1,Cajero 32,"5,27",6:44
1,Cajero 105,"2,84",6:44
1,Cajero 40,"6,67",6:46
1,Cajero 137,"6,66",6:47
1,Cajero 101,"3,47",6:50
1,Cajero 130,"6,41",6:52
1,Cajero 81,"4,48",6:53
1,Cajero 202,"7,87",6:53
1,Cajero 164,"5,86",6:56
1,Cajero 100,"5,83",6:58
1,Cajero 110,"2,43",6:58
1,Cajero 45,"4,67",7:0
1,Cajero 2,"5,72",7:1
1,Cajero 136,"3,44",7:3
1,Cajero 186,"6,88",7:4
1,Cajero 202,"4,27",7:5
1,Cajero 67,"4,77",7:7
1,Cajero 2,"5,49",7:10
1,Cajero 84,"2,7",7:10
1,Cajero 16,"7,71",7:11
1,Cajero 225,"2,66",7:14
1,Cajero 64,"6,3",7:15
1,Cajero 197,"7,64",7:18
1,Cajero 43,"5,51",7:21
1,Cajero 219,"6,33",7:23
1,Cajero 175,"5,06",7:23
1,Cajero 217,"3,74",7:24
1,Cajero 17,"4,68",7:27
1,Cajero 65,"6,58",7:29
1,Cajero 173,"2,75",7:31
1,Cajero 163,"4,44",7:33
1,Cajero 159,"6,6",7:35
1,Cajero 224,"5,95",7:37
1,Cajero 85,"7,3",7:39
1,Cajero 210,"3,86",7:39
1,Cajero 54,"5,73",7:40
1,Cajero 59,"5,18",7:43
1,Cajero 193,"6,3",7:44
1,Cajero 80,"6,93",7:45
1,Cajero 173,"5,66",7:46
1,Cajero 71,"3,93",7:48
1,Cajero 181,"4,09",7:50
1,Cajero 75,"7,26",7:50
1,Cajero 78,"2,77",7:51
1,Cajero 18,"2,62",7:53
1,Cajero 84,"7,68",7:54
1,Cajero 203,"4,72",7:54
1,Cajero 195,"4,46",7:55
1,Cajero 111,"5,61",7:57
1,Cajero 139,"3,03",8:0
1,Cajero 222,"3,55",8:2
1,Cajero 179,"6,41",8:3
1,Cajero 231,"4,77",8:3
1,Cajero 208,"2,32",8:5
1,Cajero 15,"7,17",8:7
1,Cajero 162,"7,73",8:8
1,Cajero 50,"6,77",8:10
1,Cajero 230,"7,6",8:13
1,Cajero 72,"4,65",8:16
1,Cajero 71,"7,88",8:18
1,Cajero 123,"3,16",8:21
1,Cajero 115,"4,65",8:24
1,Cajero 38,"4,14",8:25
1,Cajero 186,"4,37",8:25
1,Cajero 187,"3,12",8:25
1,Cajero 102,"4,47",8:28
1,Cajero 231,"7,86",8:29
1,Cajero 17,"3,86",8:32
1,Cajero 201,"6,55",8:33
1,Cajero 218,"4,59",8:33
1,Cajero 147,"4,73",8:35
1,Cajero 214,"7,33",8:38
1,Cajero 222,"4,26",8:39
1,Cajero 204,"2,74",8:39
1,Cajero 110,"4,56",8:41
1,Cajero 27,"3,75",8:43
1,Cajero 217,"5,95",8:44
1,Cajero 13,"7,59",8:44
1,Cajero 216,"5,54",8:47
1,Cajero 213,"2,66",8:49
1,Cajero 65,3,8:50
1,Cajero 146,"7,46",8:51
1,Cajero 171,"6,75",8:53
1,Cajero 160,"3,88",8:54
1,Cajero 73,"3,09",8:56
1,Cajero 74,"3,57",8:58
1,Cajero 58,"6,53",9:0
1,Cajero 133,"6,64",9:3
1,Cajero 225,"6,33",9:6
1,Cajero 27,"4,89",9:8
1,Cajero 165,"6,37",9:9
1,Cajero 52,"2,35",9:10
1,Cajero 224,"4,58",9:12
1,Cajero 159,"2,77",9:13
1,Cajero 188,"6,82",9:15
1,Cajero 82,"3,36",9:18
1,Cajero 83,"3,31",9:20
1,Cajero 214,"6,35",9:23
1,Cajero 131,"5,34",9:25
1,Cajero 178,"3,86",9:27
1,Cajero 202,"7,22",9:28
1,Cajero 209,"7,58",9:29
1,Cajero 206,"7,23",9:31
1,Cajero 163,"7,29",9:34
1,Cajero 150,"2,52",9:35
1,Cajero 174,"5,31",9:36
1,Cajero 62,"3,71",9:36
1,Cajero 188,"4,98",9:38
1,Cajero 2,"3,99",9:40
1,Cajero 228,"3,09",9:40
1,Cajero 188,"3,46",9:41
1,Cajero 67,"6,15",9:43
1,Cajero 35,"4,5",9:43
1,Cajero 149,"7,46",9:44
1,Cajero 77,"3,35",9:46
1,Cajero 215,"7,34",9:48
1,Cajero 222,"5,23",9:50
1,Cajero 95,"3,06",9:52
1,Cajero 228,"7,54",9:54
1,Cajero 106,"3,62",9:57
1,Cajero 192,"5,41",9:57
1,Cajero 149,"3,32",9:57
1,Cajero 175,"3,46",9:58
1,Cajero 174,"6,14",10:0
1,Cajero 78,"5,56",10:1
1,Cajero 130,"6,94",10:2
1,Cajero 212,"6,34",10:4
1,Cajero 48,"2,73",10:7
1,Cajero 222,3,10:8
1,Cajero 106,"3,63",10:10
1,Cajero 171,"6,34",10:11
1,Cajero 197,"3,95",10:14
1,Cajero 110,"7,34",10:16
1,Cajero 22,"6,39",10:16
1,Cajero 211,"2,8",10:17
1,Cajero 106,"5,75",10:18
1,Cajero 15,"3,82",10:21
1,Cajero 169,"3,3",10:24
1,Cajero 226,"6,39",10:27
1,Cajero 120,"6,41",10:29
1,Cajero 166,"7,66",10:30
1,Cajero 72,"7,57",10:33
1,Cajero 63,"3,38",10:34
1,Cajero 46,"2,98",10:36
1,Cajero 59,"4,4",10:37
1,Cajero 205,"5,39",10:39
1,Cajero 82,"7,19",10:41
1,Cajero 215,"5,74",10:42
1,Cajero 168,"6,94",10:43
1,Cajero 153,"7,05",10:45
1,Cajero 121,"5,01",10:46
1,Cajero 166,"3,89",10:49
1,Cajero 221,"6,54",10:50
1,Cajero 60,"3,51",10:52
1,Cajero 117,"3,24",10:53
1,Cajero 151,"2,69",10:55
1,Cajero 136,"4,1",10:58
1,Cajero 44,"2,61",10:58
1,Cajero 76,"3,6",11:0
1,Cajero 99,"3,01",11:2
1,Cajero 46,"7,64",11:4
1,Cajero 8,"6,54",11:6
1,Cajero 4,"7,24",11:8
1,Cajero 84,"2,56",11:10
1,Cajero 80,"5,97",11:11
1,Cajero 44,"3,59",11:14
1,Cajero 217,"4,39",11:14
1,Cajero 225,"6,03",11:15
1,Cajero 148,"7,51",11:17
1,Cajero 119,"3,91",11:17
1,Cajero 152,"5,09",11:19
1,Cajero 98,"7,07",11:20
1,Cajero 127,"3,71",11:21
1,Cajero 216,"7,16",11:23
1,Cajero 135,"3,64",11:25
1,Cajero 227,"7,3",11:28
1,Cajero 94,"3,18",11:29
1,Cajero 107,"5,14",11:31
1,Cajero 27,"7,22",11:33
1,Cajero 24,"4,34",11:35
1,Cajero 190,"3,45",11:36
1,Cajero 134,"3,7",11:37
1,Cajero 139,"6,48",11:40
1,Cajero 216,"6,21",11:41
1,Cajero 169,"3,43",11:44
1,Cajero 195,"2,85",11:46
1,Cajero 97,"3,81",11:47
1,Cajero 158,"4,77",11:49
1,Cajero 190,"6,91",11:50
1,Cajero 136,"3,38",11:52
1,Cajero 175,"2,91",11:54
1,Cajero 115,"6,49",11:57
1,Cajero 160,"6,46",11:59
1,Cajero 79,"6,92",12:0
1,Cajero 147,"6,35",12:2
1,Cajero 129,"6,62",12:3
1,Cajero 2,"7,83",12:5
1,Cajero 198,"4,6",12:5
1,Cajero 157,"2,52",12:7
1,Cajero 165,"6,35",12:9
1,Cajero 87,"6,92",12:12
1,Cajero 71,"3,63",12:12
1,Cajero 136,"2,84",12:15
1,Cajero 90,"4,32",12:15
1,Cajero 174,"4,78",12:17
1,Cajero 134,"5,4",12:18
1,Cajero 180,"3,55",12:21
1,Cajero 231,"4,53",12:24
1,Cajero 69,"4,2",12:24
1,Cajero 156,"6,57",12:27
1,Cajero 141,"5,06",12:28
1,Cajero 200,"6,45",12:30
1,Cajero 108,"6,39",12:33
1,Cajero 52,"3,18",12:36
1,Cajero 24,"3,97",12:37
1,Cajero 157,"6,41",12:40
1,Cajero 97,"5,98",12:41
1,Cajero 116,"3,98",12:42
1,Cajero 133,"3,38",12:43
1,Cajero 60,"7,2",12:43
1,Cajero 62,"3,67",12:44
1,Cajero 198,"3,39",12:45
1,Cajero 22,"4,69",12:47
1,Cajero 199,"5,47",12:48
1,Cajero 61,"4,53",12:50
1,Cajero 172,"7,38",12:52
1,Cajero 77,"6,48",12:53
1,Cajero 194,"4,98",12:56
1,Cajero 221,"6,85",12:57
1,Cajero 37,"3,44",12:59
1,Cajero 104,"6,97",13:1
1,Cajero 22,"3,85",13:3
1,Cajero 228,"6,31",13:4
1,Cajero 199,"2,69",13:7
1,Cajero 92,"5,23",13:8
1,Cajero 97,"6,84",13:10
1,Cajero 135,"4,52",13:11
1,Cajero 6,"5,76",13:13
1,Cajero 75,"5,18",13:13
1,Cajero 194,"6,47",13:14
1,Cajero 225,"7,26",13:16
1,Cajero 24,"3,74",13:18
1,Cajero 85,"4,7",13:20
1,Cajero 81,"5,04",13:20
1,Cajero 158,"5,28",13:20
1,Cajero 184,"5,54",13:20
1,Cajero 110,"4,41",13:22
1,Cajero 138,"7,77",13:23
1,Cajero 19,"6,16",13:24
1,Cajero 39,"6,26",13:25
1,Cajero 125,"4,48",13:26
1,Cajero 185,"3,41",13:28
1,Cajero 126,"4,85",13:31
1,Cajero 112,"6,48",13:33
1,Cajero 88,"4,75",13:34
1,Cajero 91,"7,03",13:35
1,Cajero 210,"3,08",13:37
1,Cajero 176,"4,39",13:39
1,Cajero 225,"4,82",13:40
1,Cajero 26,"5,98",13:41
1,Cajero 61,"7,05",13:42
1,Cajero 184,"5,77",13:43
1,Cajero 38,"6,88",13:45
1,Cajero 11,"5,87",13:47
1,Cajero 161,"6,06",13:50
1,Cajero 143,"2,41",13:52
1,Cajero 79,"7,66",13:53
1,Cajero 70,"4,33",13:55
1,Cajero 79,"5,68",13:57
1,Cajero 223,"3,68",13:57
1,Cajero 183,"6,97",13:58
1,Cajero 208,"7,45",13:59
1,Cajero 159,"4,61",14:2
1,Cajero 165,"2,38",14:4
1,Cajero 221,"2,51",14:4
1,Cajero 206,"3,49",14:7
1,Cajero 188,"3,57",14:7
1,Cajero 87,"3,36",14:9
1,Cajero 4,"2,53",14:10
1,Cajero 94,"2,96",14:10
1,Cajero 71,"7,75",14:11
1,Cajero 61,"3,92",14:11
1,Cajero 54,"4,1",14:13
1,Cajero 9,"2,75",14:14
1,Cajero 158,"7,87",14:17
1,Cajero 127,"7,25",14:19
1,Cajero 122,"6,19",14:20
1,Cajero 149,"5,66",14:21
1,Cajero 111,"5,38",14:24
1,Cajero 68,"5,51",14:26
1,Cajero 34,"5,75",14:27
1,Cajero 162,"5,87",14:29
1,Cajero 172,"3,64",14:31
1,Cajero 99,"6,35",14:33
1,Cajero 208,"6,74",14:35
1,Cajero 179,"2,82",14:36
1,Cajero 149,"3,38",14:36
1,Cajero 227,"3,66",14:39
1,Cajero 133,"7,75",14:40
1,Cajero 229,"2,94",14:42
1,Cajero 139,"3,39",14:44
1,Cajero 80,"2,81",14:47
1,Cajero 149,"3,41",14:47
1,Cajero 166,"7,59",14:47
1,Cajero 9,"2,65",14:47
1,Cajero 72,"6,82",14:49
1,Cajero 43,"6,53",14:50
1,Cajero 161,"2,32",14:50
1,Cajero 184,"6,92",14:52
1,Cajero 197,"5,12",14:55
1,Cajero 219,"4,99",14:56
1,Cajero 77,"7,52",14:56
1,Cajero 80,"6,71",14:56
1,Cajero 48,"4,94",14:58
1,Cajero 49,"4,82",15:0
1,Cajero 143,"5,14",15:1
1,Cajero 136,"7,72",15:2
1,Cajero 179,"3,63",15:4
1,Cajero 180,"2,32",15:7
1,Cajero 21,"4,77",15:9
1,Cajero 189,"5,59",15:11
1,Cajero 52,"4,52",15:12
1,Cajero 226,"7,32",15:13
1,Cajero 201,"5,22",15:15
1,Cajero 95,"2,68",15:17
1,Cajero 154,"7,55",15:19
1,Cajero 174,"7,71",15:21
1,Cajero 184,"4,02",15:23
1,Cajero 118,"4,64",15:25
1,Cajero 51,"5,91",15:26
1,Cajero 41,"6,42",15:27
1,Cajero 157,"5,4",15:29
1,Cajero 32,"3,48",15:29
1,Cajero 35,"7,65",15:30
1,Cajero 34,"2,54",15:31
1,Cajero 152,"2,36",15:33
1,Cajero 49,"4,76",15:35
1,Cajero 117,6,15:37
1,Cajero 179,"6,52",15:38
1,Cajero 38,"6,28",15:38
1,Cajero 165,"5,94",15:39
1,Cajero 88,"2,87",15:39
1,Cajero 96,"4,14",15:42
1,Cajero 96,"6,88",15:43
1,Cajero 64,"7,72",15:43
1,Cajero 136,"2,71",15:44
1,Cajero 193,"7,02",15:45
1,Cajero 65,"3,88",15:48
1,Cajero 15,"7,5",15:50
1,Cajero 98,"7,86",15:52
1,Cajero 167,"7,82",15:52
1,Cajero 79,"6,41",15:52
1,Cajero 210,"7,72",15:54
1,Cajero 106,"5,35",15:54
1,Cajero 55,"6,86",15:56
1,Cajero 83,"2,36",15:59
1,Cajero 217,"3,32",15:59
1,Cajero 86,"2,96",15:59
1,Cajero 122,"6,82",16:0
1,Cajero 68,"2,32",16:1
1,Cajero 178,"5,34",16:1
1,Cajero 108,"5,78",16:4
1,Cajero 65,"6,64",16:6
1,Cajero 116,"7,15",16:9
1,Cajero 157,"3,17",16:11
1,Cajero 156,"7,38",16:13
1,Cajero 23,"6,71",16:14
1,Cajero 83,"3,49",16:15
1,Cajero 99,"7,46",16:16
1,Cajero 144,"4,07",16:17
1,Cajero 189,"6,81",16:18
1,Cajero 159,"7,82",16:20
1,Cajero 181,"4,5",16:20
1,Cajero 119,"5,03",16:23
1,Cajero 25,"4,98",16:23
1,Cajero 33,"3,67",16:26
1,Cajero 212,"7,32",16:26
1,Cajero 19,"6,73",16:27
1,Cajero 167,"3,92",16:30
1,Cajero 115,"5,97",16:32
1,Cajero 48,"3,09",16:35
1,Cajero 147,"3,81",16:37
1,Cajero 9,"5,99",16:39
1,Cajero 35,"5,76",16:42
1,Cajero 153,"6,46",16:43
1,Cajero 180,"2,88",16:46
1,Cajero 42,"7,56",16:48
1,Cajero 229,"4,4",16:50
1,Cajero 193,"4,77",16:51
1,Cajero 154,"4,58",16:53
1,Cajero 121,"2,48",16:55
1,Cajero 124,"7,65",16:57
1,Cajero 152,"4,76",16:59
1,Cajero 189,"7,73",17:0
1,Cajero 14,"2,46",17:2
1,Cajero 8,"6,36",17:4
1,Cajero 183,"7,29",17:6
1,Cajero 181,"4,18",17:8
1,Cajero 46,"4,81",17:11
1,Cajero 109,"6,26",17:11
1,Cajero 184,"4,91",17:11
1,Cajero 133,"2,52",17:12
1,Cajero 128,"4,59",17:15
1,Cajero 17,"3,83",17:17
1,Cajero 176,"6,57",17:20
1,Cajero 212,"4,55",17:20
1,Cajero 146,"3,32",17:21
1,Cajero 225,"4,5",17:21
1,Cajero 55,"4,34",17:22
1,Cajero 63,"7,89",17:23
1,Cajero 80,"6,18",17:25
1,Cajero 103,"7,23",17:26
1,Cajero 36,"5,12",17:27
1,Cajero 85,"2,41",17:29
1,Cajero 33,"3,27",17:31
1,Cajero 114,"4,67",17:31
1,Cajero 16,"7,28",17:32
1,Cajero 155,"4,8",17:34
1,Cajero 23,"7,53",17:37
1,Cajero 121,"6,28",17:39
1,Cajero 6,"5,33",17:40
1,Cajero 45,"2,57",17:41
1,Cajero 115,"5,97",17:44
1,Cajero 202,"2,81",17:46
1,Cajero 176,"6,77",17:47
1,Cajero 162,"3,14",17:48
1,Cajero 79,"7,08",17:49
1,Cajero 141,"4,65",17:51
1,Cajero 151,"2,71",17:52
1,Cajero 39,"6,51",17:52
1,Cajero 147,"5,3",17:54
1,Cajero 127,"5,35",17:55
1,Cajero 186,"5,82",17:57
1,Cajero 154,"2,52",18:0
1,Cajero 218,"2,93",18:0
1,Cajero 152,"6,97",18:1
1,Cajero 134,"7,22",18:2
1,Cajero 171,"6,91",18:4
1,Cajero 118,"4,36",18:7
1,Cajero 72,"3,2",18:9
1,Cajero 116,"5,8",18:12
1,Cajero 13,"6,52",18:14
1,Cajero 199,"3,91",18:16
1,Cajero 117,"7,16",18:17
1,Cajero 199,"5,7",18:18
1,Cajero 141,"3,3",18:21
1,Cajero 155,"3,73",18:22
1,Cajero 96,"6,84",18:24
1,Cajero 224,"3,14",18:24
1,Cajero 63,"6,04",18:25
1,Cajero 219,"6,25",18:27
1,Cajero 117,"6,57",18:29
1,Cajero 132,"3,07",18:31
1,Cajero 57,"6,54",18:32
1,Cajero 188,"4,08",18:34
1,Cajero 125,"5,92",18:37
1,Cajero 106,"6,4",18:39
1,Cajero 55,"2,96",18:39
1,Cajero 10,"3,66",18:40
1,Cajero 39,"7,61",18:42
1,Cajero 30,"2,41",18:45
1,Cajero 126,"2,61",18:46
1,Cajero 2,"5,31",18:47
1,Cajero 20,"4,68",18:48
1,Cajero 74,"6,52",18:50
1,Cajero 7,"4,5",18:52
1,Cajero 172,"7,75",18:52
1,Cajero 155,"4,7",18:55
1,Cajero 224,"5,72",18:57
1,Cajero 224,"3,81",18:59
1,Cajero 149,"4,01",19:1
1,Cajero 4,"4,37",19:1
1,Cajero 82,"5,59",19:4
1,Cajero 221,"2,66",19:5
1,Cajero 16,"6,98",19:5
1,Cajero 181,"5,56",19:5
1,Cajero 224,"4,38",19:7
1,Cajero 135,"4,45",19:8
1,Cajero 133,"4,58",19:9
1,Cajero 123,"6,99",19:10
1,Cajero 162,"5,93",19:11
1,Cajero 221,"6,29",19:12
1,Cajero 145,"3,99",19:15
1,Cajero 99,"6,39",19:17
1,Cajero 188,"5,24",19:19
1,Cajero 117,"2,54",19:20
1,Cajero 54,"3,76",19:22
1,Cajero 53,"6,6",19:23
1,Cajero 170,"6,54",19:25
1,Cajero 206,"6,9",19:26
1,Cajero 187,"2,8",19:28
1,Cajero 34,"7,56",19:30
1,Cajero 101,"7,58",19:31
1,Cajero 146,"2,91",19:32
